Ref,Title (EN),Publication date,Authors,Publisher (EN),Keywords (EN),Country:CountryNameEN,Country:CountryNameES,Country:CountryNameFR,Language of the document,FileName,Publisher (FR),Publisher (SP),Title (FR),Title (SP),Type of the document (EN),Type of the document (FR),Type of the document (SP)
1,2005 Joint WTO/OECD Report on Trade-Related Technical Assistance and Capacity Building,2005,Organisation for Economic Co-operation and Development (OECD); World Trade Organization (WTO),Organisation for Economic Co-operation and Development (OECD);,SPS-General,,,,EN,2005 Joint WTO-OECD Report on Trade-Related Technical Assistance and Capacity Building.pdf,Organisation de Coopération et de Développement Économiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),2005 Joint WTO/OECD Report on Trade-Related Technical Assistance and Capacity Building,2005 Joint WTO/OECD Report on Trade-Related Technical Assistance and Capacity Building,Paper,Papier,Papel
2,2010 Report on Sanitary and Phytosanitary Measures,2010,United States Trade Representative (USTR),United States Trade Representative (USTR),SPS-General,,,,EN,2010 Report on SPS Measures.PDF,United States Trade Representative (USTR),United States Trade Representative (USTR),2010 Report on Sanitary and Phytosanitary Measures,2010 Report on Sanitary and Phytosanitary Measures,Report,Rapport,Reporte
3,7th CAADP Partnership Platform Meeting Summary of Discussion: Side Event on SPS Issues and Formation of a Partnership for Aflatoxin Control in Africa (PACA),2011,Meridian Institute,Meridian Institute,Food Safety,,,,EN,7th CAADP Partnership Platform Meeting Summary of Discussion.pdf,Meridian Institute,Meridian Institute,7th CAADP Partnership Platform Meeting Summary of Discussion: Side Event on SPS Issues and Formation of a Partnership for Aflatoxin Control in Africa (PACA),7th CAADP Partnership Platform Meeting Summary of Discussion: Side Event on SPS Issues and Formation of a Partnership for Aflatoxin Control in Africa (PACA),Other,Autres,Otro
4,A Case Study of Zambian Honey Exports,2009,S. Sohlman; E. Anker-Kofoed; S. Westerberg,Swedish National Board of Trade,Food Safety,Zambia,Zambia,Zambie,EN,A Case Study of Zambian Honey Exports.pdf,Swedish National Board of Trade,Swedish National Board of Trade,A Case Study of Zambian Honey Exports,A Case Study of Zambian Honey Exports,Paper,Papier,Papel
5,A Cost-Benefit Framework for the Assessment of Non-Tariff Measures in Agro-Food Trade,2009,Frank van Tongeren; John Beghin; Stéphan Marette,Organisation for Economic Co-operation and Development (OECD),SPS-General,,,,EN,A Cost-Benefit Framework for the Assessment of NTM in Agro-food trade.pdf,Organisation de Coopération et de Développement Économiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),A Cost-Benefit Framework for the Assessment of Non-Tariff Measures in Agro-Food Trade,A Cost-Benefit Framework for the Assessment of Non-Tariff Measures in Agro-Food Trade,Paper,Papier,Papel
6,A feasibility study of the eradication of Oriental fruit fly (B. dorsalis) and breadfruit fly (B. umbrosa) from the Republic of Palau,2000,Andrew McGregor,Secretariat of the Pacific Community,Plant Health,Palau,Palau,Palaos,EN,A feasibility study of the eradication of Oriental fruit fly (B. dorsalis) and breadfruit fly.pdf,Secretariat of the Pacific Community,Secretariat of the Pacific Community,A feasibility study of the eradication of Oriental fruit fly (B. dorsalis) and breadfruit fly (B. umbrosa) from the Republic of Palau,A feasibility study of the eradication of Oriental fruit fly (B. dorsalis) and breadfruit fly (B. umbrosa) from the Republic of Palau,Other,Autres,Otro
7,A Guide to OIE Certified Laboratory Twinning Projects,2008,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Animal Health,,,,EN,A Guide to OIE Certified Laboratory Twinning Projects.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),A Guide to OIE Certified Laboratory Twinning Projects,A Guide to OIE Certified Laboratory Twinning Projects,Report,Rapport,Reporte
8,A Multi-Factorial Risk Prioritization Framework for Food- borne Pathogens,2007,S. Henson; J. Caswell; J. Cranfield; A. Fazil; V. Davidson; S. Anders; C. Schmidt,University of Massachusetts Amherst,Food Safety,,,,EN,A Multi-Factorial Risk Prioritization Framework for Food- borne Pathogens (2007-2008).pdf,University of Massachusetts Amherst,University of Massachusetts Amherst,A Multi-Factorial Risk Prioritization Framework for Food- borne Pathogens,A Multi-Factorial Risk Prioritization Framework for Food- borne Pathogens,Report,Rapport,Reporte
9,A Multi-Institutional Approach to Create Fruit Fly-Low Prevalence and Fly-Free Areas in Central America,2007,J. Reyes; X. Carro; J. Hernandez; W. Méndez; C. Campo; H. Esquivel; E. Salgado; W. R. Enkerlin,Springer,Plant Health,,,,EN,A Multi-Institutional Approach to Create Fruit Fly-Low Prevalence and Fly-Free Areas in Central America.pdf,Springer,Springer,A Multi-Institutional Approach to Create Fruit Fly-Low Prevalence and Fly-Free Areas in Central America,A Multi-Institutional Approach to Create Fruit Fly-Low Prevalence and Fly-Free Areas in Central America,Paper,Papier,Papel
10,"A new animal health strategy for the European Union (2007-2013) where ""Prevention is better than cure""",2007,European Commission,European Union,Animal Health,European Union,Unión Europea,Union européenne,EN,A new animal health strategy for the European Union (2007-2013) where prevention is better than cure.pdf,Union européenne,Unión Europea,"A new animal health strategy for the European Union (2007-2013) where ""Prevention is better than cure""","A new animal health strategy for the European Union (2007-2013) where ""Prevention is better than cure""",Report,Rapport,Reporte
