ref,Title,Publication date,Authors,Publisher EN,Publisher FR,Publisher SP,Country EN,Country FR,Country SP,Language of the document,File Name
1,2005 Joint WTO/OECD Report on Trade-Related Technical Assistance and Capacity Building,2005,Organisation for Economic Co-operation and Development (OECD); World Trade Organization (WTO),Organisation for Economic Co-operation and Development (OECD); World Trade Organization (WTO) ,Organisation de Coopération et de Développement �conomiques (OCDE); Organisation Mondiale du Commerce (OMC) ,Organización para la Cooperación y el Desarrollo Económico (OCDE); Organización Mundial del Comercio (OMC) ,,,,EN,2005 Joint WTO-OECD Report on Trade-Related Technical Assistance and Capacity Building.pdf
2,2010 Report on Sanitary and Phytosanitary Measures,2010,United States Trade Representative (USTR),United States Trade Representative (USTR),United States Trade Representative (USTR),United States Trade Representative (USTR),,,,EN,2010 Report on SPS Measures.PDF
3,7th CAADP Partnership Platform Meeting Summary of Discussion: Side Event on SPS Issues and Formation of a Partnership for Aflatoxin Control in Africa (PACA),2011,Meridian Institute,Meridian Institute,Meridian Institute,Meridian Institute,,,,EN,7th CAADP Partnership Platform Meeting Summary of Discussion.pdf
4,A Case Study of Zambian Honey Exports,2009,S. Sohlman; E. Anker-Kofoed; S. Westerberg,Swedish National Board of Trade,Swedish National Board of Trade,Swedish National Board of Trade,Zambia,Zambie,Zambia,EN,A Case Study of Zambian Honey Exports.pdf
5,A Cost-Benefit Framework for the Assessment of Non-Tariff Measures in Agro-Food Trade,2009,Frank van Tongeren; John Beghin; Stéphan Marette,Organisation for Economic Co-operation and Development (OECD),Organisation de Coopération et de Développement �conomiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),,,,EN,A Cost-Benefit Framework for the Assessment of NTM in Agro-food trade.pdf
6,A feasibility study of the eradication of Oriental fruit fly (B. dorsalis) and breadfruit fly (B. umbrosa) from the Republic of Palau,2000,Andrew McGregor,Secretariat of the Pacific Community,Secretariat of the Pacific Community,Secretariat of the Pacific Community,Palau,Palaos,Palau,EN,A feasibility study of the eradication of Oriental fruit fly (B. dorsalis) and breadfruit fly.pdf
7,A Guide to OIE Certified Laboratory Twinning Projects,2008,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE),Organización Mundial de Sanidad Animal (OIE),,,,EN,A Guide to OIE Certified Laboratory Twinning Projects.pdf
8,A Multi-Factorial Risk Prioritization Framework for Food- borne Pathogens,2007,S. Henson; J. Caswell; J. Cranfield; A. Fazil; V. Davidson; S. Anders; C. Schmidt,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,EN,A Multi-Factorial Risk Prioritization Framework for Food- borne Pathogens (2007-2008).pdf
9,A Multi-Institutional Approach to Create Fruit Fly-Low Prevalence and Fly-Free Areas in Central America,2007,J. Reyes; X. Carro; J. Hernandez; W. Méndez; C. Campo; H. Esquivel; E. Salgado; W. R. Enkerlin,Springer,Springer,Springer,,,,EN,A Multi-Institutional Approach to Create Fruit Fly-Low Prevalence and Fly-Free Areas in Central America.pdf
10,"A new Animal Health Strategy for the European Union (2007-2013) where ""Prevention is better than cure""",2007,European Commission,European Union,Union européenne,Unión Europea,European Union,Union européenne,Unión Europea,EN,A new Animal Health Strategy for the European Union (2007-2013) where - Prevention is better than cure (ppt).ppt
11,"A new Animal health strategy for the European Union (2007-2013) where ""Prevention is better than cure""",2007,European Commission,European Union,Union européenne,Unión Europea,European Union,Union européenne,Unión Europea,EN,A new animal health strategy for the European Union (2007-2013) where prevention is better than cure.pdf
12,A Pest Under Control (IDB Video),2010,Inter-American Development Bank (IDB - TV),Inter-American Development Bank (IDB),Banque interaméricaine de développement (BID),Banco Interamericano de Desarrollo (BID),Peru,Pérou,Perú,EN,A Pest Under Control (IDB Video).aspx
13,A Pro-Poor Analysis of the Shrimp Sector in Bangladesh,2006,Greater Access to Trade Expansion (GATE) Project,United States Agency for International Development (USAID),United States Agency for International Development (USAID),United States Agency for International Development (USAID),Bangladesh,Bangladesh,Bangladesh,EN,A Pro-Poor Analysis of the Shrimp Sector in Bangladesh.pdf
14,"A review and impact assessment of ACIAR's fruit-fly research partnerships, 1984-2007",2008,Bob Lindner; Paul McLeod,Australian Centre for International Agricultural Research (ACIAR),Australian Centre for International Agricultural Research (ACIAR),Australian Centre for International Agricultural Research (ACIAR),,,,EN,A review and impact assessment of ACIAR's fruit-fly research partnerships.pdf
15,A Second Look at the Pesticides Initiative Program: Evidence from Senegal,2011,Melise Jaud; Olivier Cadot,The World Bank,La Banque mondiale,El Banco Mundial ,Senegal,Sénégal,Senegal,EN,A Second Look at PIP Evidence from Senegal WPS5635.pdf
16,A socio-economic evaluation of the Regional Fruit Fly Projects,2000,Andrew McGregor,Secretariat of the Pacific Community,Secretariat of the Pacific Community,Secretariat of the Pacific Community,,,,EN,A socio-economic evaluation of the Regional Fruit Fly Projects.pdf
17,A Strategic Framework for Reducing Risks of Infectious Diseases at the Animal-Human-Ecosystems Interface,2008,Food and Agriculture Organization of the United Nations (FAO); World Organization for Animal Health (OIE); World Health Organization (WHO); The United Nations Children's Fund (UNICEF); UN System Influenza Coordination (UNSIC); The World Bank,Food and Agriculture Organization of the United Nations (FAO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),,,,EN,"Contributing to One World, One Health.pdf"
18,A Strategic Framework for the ComMark Trust's RSP Programme on Phytosanitary Issues,2010,Ralf Lopian; Myllyl�n Mylly Oy,Southern African Development Community (SADC),Southern African Development Community (SADC),Southern African Development Community (SADC),,,,EN,A Strategic Framework for the ComMark Trust's RSP Programme on Phytosanitary Issues.doc
19,A Toolkit for the Economic Analysis of Invasive Species,2008,L. Emerton; G. Howard,The Global Invasive Species Programme (GISP),The Global Invasive Species Programme (GISP),The Global Invasive Species Programme (GISP),,,,EN,A Toolkit for the Economic Analysis of Invasive Species.pdf
20,Addressing Climate Change and Providing New Opportunities for Farmers,2000,Mark Muller; Catherine Hofman; Paul Hodges,Institute for Agriculture and Trade Policy,Institute for Agriculture and Trade Policy,Institute for Agriculture and Trade Policy,,,,EN,Addressing Climate Change and Providing New Opportunities for Farmers Mark.pdf
21,Addressing Trade Restrictive Non-Tariff Measures on Goods Trade in the East African Community,2010,Robert Kirk,The World Bank,La Banque mondiale,El Banco Mundial ,,,,EN,Addressing Trade Restrictive NTM on Goods Trade in the EAC.pdf
22,Aflandia Country Case Study,2011,Spencer Henson,University of Guelph; University of Sussex,University of Guelph; University of Sussex,University of Guelph; University of Sussex,,,,EN,Aflandia Country Case Study.pdf
23,"Africa Can Help Feed Africa , Removing barriers to regional trade in food staples",2012,The World Bank,The World Bank,La Banque mondiale,El Banco Mundial ,,,,EN,WB_CanAfricaFeedAfrica.pdf
24,"Africa Can Help Feed Africa, Removing barriers to regional trade in food staples - Summary Version",2012,The World Bank,The World Bank,La Banque mondiale,El Banco Mundial ,,,,EN,WB_CanAfricaFeedAfrica_Summary.pdf
25,African Capacity Building for Meat Exports: Lessons from the Namibian and Botswanan Beef Industries,2008,R. Cabrera; M. Cochran; L. Dangelmayr; G. D'Aguilar; K. Gawande; J. Lee; I. Speir; C. Weigand,Texas A&M University,Texas A&M University,Texas A&M University,Botswana; Namibia,Botswana; Namibie,Botswana; Namibia,EN,African Capacity Building for Meat Exports.pdf
26,AGOA Countries: Challenges and Considerations in Exporting Horticultural Products to the United States,2010,Richard Pasco,International Food and Agricultural Trade Policy Council (IPC),International Food and Agricultural Trade Policy Council (IPC),International Food and Agricultural Trade Policy Council (IPC),,,,EN,AGOA Countries - Challenges and Considerations in Exporting Horticultural Products to the United States.pdf
27,"Agricultural Intensification in Mozambique - Infrastructure, Policy and Institutional Framework",2006,Peter E.  Coughlin,"EconPolicy Research Group, Ltd - Mozambique","EconPolicy Research Group, Ltd - Mozambique","EconPolicy Research Group, Ltd - Mozambique",Mozambique,Mozambique,Mozambique,EN,"Agricultural Intensification in Mozambique - Infrastructure, Policy and Institutional Framework.pdf"
28,Agricultural Trade Adjustments: Lessons from SADC experiences,2010,P. Goodison; V. Fautrel; S. Bilal; S. Colin,Centre technique de cooperation agricole et rurale (CTA); European Centre for Development Policy Management (ECDPM),Centre technique de cooperation agricole et rurale (CTA); European Centre for Development Policy Management (ECDPM),Centre technique de cooperation agricole et rurale (CTA); European Centre for Development Policy Management (ECDPM),,,,EN,Discussion Paper 95 - Agricultural Trade Adjustments - Lessons from SADC experiences.pdf
29,Agrifood Standards and Trade - SPS Toolkit and CBT Study,2010,Natural Resources Institute (NRI),Natural Resources Institute (NRI),Natural Resources Institute (NRI),Natural Resources Institute (NRI),,,,EN,Agrifood Standards and Trade SPS Toolkit and CBT Study.pdf
30,Aid for Trade and Capacity building: The case of SPS standards and developing countries (Trade Negiotiations Insight),2006,Gideon Rabinowitz,International Centre for Trade and Sustainable Development (ICTSD),International Centre for Trade and Sustainable Development (ICTSD),International Centre for Trade and Sustainable Development (ICTSD),,,,EN,Trade Negiotiations Insight - From Doha to Cotonou.pdf
31,Aid for Trade at a Glance 2009 - Maintaining Momentum,2009,Organisation for Economic Co-operation and Development (OECD); World Trade Organization (WTO),Organisation for Economic Co-operation and Development (OECD); World Trade Organization (WTO) ,Organisation de Coopération et de Développement �conomiques (OCDE); Organisation Mondiale du Commerce (OMC) ,Organización para la Cooperación y el Desarrollo Económico (OCDE); Organización Mundial del Comercio (OMC) ,,,,EN,Aid for Trade at a Glance 2009 - Maintaining Momentum.pdf
32,Aid for Trade Facilitation,2009,Matthias Helble; Catherine Mann; John S. Wilson,The World Bank,La Banque mondiale,El Banco Mundial ,,,,EN,Aid for Trade Facilitation.pdf
33,Aid-for-Trade Case Story - Case Story on Fiji's Competent Authority,2011,Government of Fiji,Government of Fiji,Government of Fiji,Government of Fiji,Fiji,Fidji,Fiji,EN,AID-FOR-TRADE CASE STORY - Case story on Fiji's Competent Authority.doc
